"FE","ShortName","Name","NameEN","index","GID","QLND.target","QPLD.target","Qosd.target","Qgro.target","Qc_b.target","QLND.sim","QPLD.sim","Qosd.sim","Qgro.sim","Qc_b.sim"
11,"RO","Rondônia","Rondonia",1,"G000001",106.01184911932,7534.52493980523,330.176608852808,279.048734531474,352.165889637018,161.976136927177,7432.65635360621,507.520760366211,348.68798694395,280.834592697728
12,"AC","Acre","Acre",2,"G000002",0,1743.88707709803,7.18286653870191e-07,2.40294364272539e-06,7.10226008831628e-06,0,1740.51122020976,1.60234059882923e-06,1.4119405520077e-06,1.73592155971939e-06
13,"AM","Amazonas","Amazonas",3,"G000003",3.63099160976178,1655.52944856296,1.32949619157409,9.85096387009801,409.688572060759,2.85895952035638,1656.26998439122,1.05377783335669,2.01629966513813,266.602881673676
14,"RR","Roraima","Roraima",4,"G000004",20.5572690765159,716.508134477051,2.51963826376891,3.38030331431849,1.61390941121061,54.0977280068586,659.237009104108,7.09564560008202,6.32767861939347,1.65884380182875
15,"PA","Pará","Para",5,"G000005",232.842318697825,19000.7022790249,243.230234066753,565.27768224911,811.483557540161,458.031383882309,18627.3306702921,783.728923310161,533.40558651727,851.161589357295
16,"AP","Amapá","Amapa",6,"G000006",1.69801797367718,90.1071163582721,5.02863821056517e-07,4.02114662439804,2.52866495917426,11.4248774525307,109.312985602768,1.62969224518352e-06,1.82956408086242,2.76534804281873
17,"TO","Tocantins","Tocantins",7,"G000007",974.165330355119,6457.89949730779,1156.83982114117,267.98044532636,860.516658721282,992.996886391706,6352.18349123771,1659.83871369295,470.587834239807,1036.63183790221
21,"MA","Maranhão","Maranhao",8,"G000008",1100.9947873927,6918.9424959737,1859.68295871939,295.85186650275,2641.90072062594,869.813721609638,7153.29869724348,2083.45950962661,314.091480673054,1998.55028893835
22,"PI","Piauí","Piaui",9,"G000009",1557.50012152284,1074.79003471663,1099.67629687741,415.047143980095,906.689143161507,1476.50253422965,1157.73590829405,1475.85632765845,573.405248104799,804.435408534415
23,"CE","Ceará","Ceara",10,"G000010",1988.39318598938,1653.38186173227,3411.72164389852,1383.91699969361,9766.67183148152,1394.01626523885,2119.89733023937,145.419062646322,843.900140628767,3059.25181067409
24,"RN","Rio Grande do Norte","Rio Grande do Norte",11,"G000011",1423.30296506916,659.190927699519,28.7447309957275,173.604439891618,5946.07751585389,1124.32866977374,842.617822289607,24.9095626477418,65.0024429282196,5394.34363725362
25,"PB","Paraíba","Paraiba",12,"G000012",978.114810829184,1248.90823542167,35.6455736623535,114.718615951391,8912.75036873305,707.693070422229,1431.17992373759,30.1318819185307,91.5132912822247,7591.62374674719
26,"PE","Pernambuco","Pernambuco",13,"G000013",1475.27308734102,2612.66851372601,62.3669710622559,408.782577666445,35598.5933705906,1309.76846545915,2777.87658292726,54.4236596062597,216.989657211978,26073.1865301728
27,"AL","Alagoas","Alagoas",14,"G000014",666.425783774697,1434.54837197989,29.695744560791,32.1850242854833,60053.4289827465,579.998744663759,1518.80726385064,27.0785686022441,41.0562069995859,37580.6681599013
28,"SE","Sergipe","Sergipe",15,"G000015",188.317826619682,1492.17048691164,145.86350145936,2061.16059668794,5693.19388651549,246.343724003931,1401.30996968125,125.279386807371,1131.38589358717,3731.65333127024
29,"BA","Bahia","Bahia",16,"G000016",5704.98240990106,16086.9048107933,4291.79148849236,4823.4623420412,10505.044599517,5360.87759252639,16346.1642237336,5257.14201941557,3619.60057759679,6478.37131952317
31,"MG","Minas Gerais","Minas Gerais",17,"G000017",9861.33635935163,20736.8564298248,3608.93981992057,14767.6021684988,83631.7836236849,9818.20943068174,20641.7587495283,5022.23208101571,10434.7206189893,73210.2769544453
32,"ES","Espírito Santo","Espirito Santo",18,"G000018",691.038076548755,2143.65934421593,83.3946390615234,349.470790761069,11366.9094825351,578.197034067311,2253.46141580607,69.1332122135368,135.484047923035,6082.52470190675
33,"RJ","Rio de Janeiro","Rio de Janeiro",19,"G000019",597.148493910023,1830.34938506783,34.2184648977051,69.7371484043504,15470.31213747,459.581886881001,1974.80814330846,29.9751498571628,26.2422437983486,6555.20658941046
35,"SP","São Paulo","Sao Paulo",20,"G000020",11095.7879828696,5336.38842288919,1777.50065440678,6891.81801508556,553196.82322646,11166.1601768233,5158.82054247702,3300.11164815582,6604.09810723884,562799.33714254
41,"PR","Paraná","Parana",21,"G000021",9614.31869820563,2907.74363052368,21026.5205107385,28398.3021690705,75578.5362931744,9616.89890397215,2703.86186415257,24272.5295458456,21251.5660613697,65309.3806610124
42,"SC","Santa Catarina","Santa Catarina",22,"G000022",2606.07583455028,749.867938210273,1532.23277021911,8453.90973120296,1538.40084501775,2289.22509077394,915.484346746942,2174.25787766927,5188.61666394048,861.118214238085
43,"RS","Rio Grande do Sul","Rio Grande do Sul",23,"G000023",8946.34443926071,295.444702618653,11750.5556507381,10150.329532477,3329.04402008347,8733.73370503167,355.721407010292,17369.8101535673,8660.74177614742,1854.49153228015
50,"MS","Mato Grosso do Sul","Mato Grosso do Sul",24,"G000024",4761.30231443923,15475.3591027533,5900.03180115608,5204.81986661965,33400.3445181047,4739.14937079758,15048.736939077,8748.00271648503,5689.51285651989,39540.815457425
51,"MT","Mato Grosso","Mato Grosso",25,"G000025",9347.41260813526,21473.4028184624,29075.1336480575,9375.30709170986,17401.3470261813,9491.69223468978,21068.1534006691,32710.8771363698,12737.0163987402,17104.2173364887
52,"GO","Goiás","Goias",26,"G000026",7182.35000063659,14032.04947053,11551.0200428707,9963.88539933131,53146.1197640586,6597.51896099766,14512.5313670281,13010.0581495268,9668.9222886149,53682.8297234113
53,"DF","Distrito Federal","Distrito Federal",27,"G000027",175.536753188729,82.17062891699,254.372306230875,559.55071136783,220.032284112691,143.585740509153,113.585690487644,314.111984245266,437.612259825543,89.310394734627
