"FE","ShortName","Name","NameEN","index","GID","QLND.target","QPLD.target","Qosd.target","Qgro.target","Qc_b.target","QLND.sim","QPLD.sim","Qosd.sim","Qgro.sim","Qc_b.sim"
11,"RO","Rondônia","Rondonia",1,"G000001",106.01184911932,7534.52493980523,330.176608852808,279.048734531474,352.165889637018,196.377948469381,7398.24695044551,523.396633299589,346.551933812357,290.937515674863
12,"AC","Acre","Acre",2,"G000002",0,1743.88707709803,7.18286653870191e-07,2.40294364272539e-06,7.10226008831628e-06,0,1740.51122020976,1.65128577769126e-06,1.37615539203335e-06,1.81886234301066e-06
13,"AM","Amazonas","Amazonas",3,"G000003",3.63099160976178,1655.52944856296,1.32949619157409,9.85096387009801,409.688572060759,3.0587507996405,1656.07026740318,1.12304910755751,1.86043338072976,305.49722240699
14,"RR","Roraima","Roraima",4,"G000004",20.5572690765159,716.508134477051,2.51963826376891,3.38030331431849,1.61390941121061,50.4400105420115,662.868568916651,6.94039565791974,6.03333338084974,1.61839533264626
15,"PA","Pará","Para",5,"G000005",232.842318697825,19000.7022790249,243.230234066753,565.27768224911,811.483557540161,421.732087180642,18663.2126757782,773.639673638361,513.734934581742,837.528738982343
16,"AP","Amapá","Amapa",6,"G000006",1.69801797367718,90.1071163582721,5.02863821056517e-07,4.02114662439804,2.52866495917426,12.6942134119241,107.560052452798,1.66599799689239e-06,1.78339413168859,2.87655050417149
17,"TO","Tocantins","Tocantins",7,"G000007",974.165330355119,6457.89949730779,1156.83982114117,267.98044532636,860.516658721282,1086.05544654812,6258.76614471894,1775.70928748563,420.88680597511,1225.32102684237
21,"MA","Maranhão","Maranhao",8,"G000008",1100.9947873927,6918.9424959737,1859.68295871939,295.85186650275,2641.90072062594,860.678147171889,7162.18303808898,2160.97507497303,286.638157302628,2204.34392422178
22,"PI","Piauí","Piaui",9,"G000009",1557.50012152284,1074.79003471663,1099.67629687741,415.047143980095,906.689143161507,1503.06425764095,1131.15136801477,1508.49555027356,562.957749299652,826.175693194335
23,"CE","Ceará","Ceara",10,"G000010",1988.39318598938,1653.38186173227,3411.72164389852,1383.91699969361,9766.67183148152,1617.609364879,1896.30419804292,145.954044643707,833.564040505355,3045.10391841767
24,"RN","Rio Grande do Norte","Rio Grande do Norte",11,"G000011",1423.30296506916,659.190927699519,28.7447309957275,173.604439891618,5946.07751585389,1124.03802384378,842.908409442541,25.3159995840806,63.2559491698353,5530.46903354906
25,"PB","Paraíba","Paraiba",12,"G000012",978.114810829184,1248.90823542167,35.6455736623535,114.718615951391,8912.75036873305,806.712711772573,1332.15217803042,32.2178973056729,83.9036126930335,8644.05988407355
26,"PE","Pernambuco","Pernambuco",13,"G000013",1475.27308734102,2612.66851372601,62.3669710622559,408.782577666445,35598.5933705906,1259.17631008442,2828.46936579808,56.0662330316185,198.142134896273,28469.6211222586
27,"AL","Alagoas","Alagoas",14,"G000014",666.425783774697,1434.54837197989,29.695744560791,32.1850242854833,60053.4289827465,580.703469901922,1518.10355325427,28.5680340296318,42.4162149134778,39513.6210211902
28,"SE","Sergipe","Sergipe",15,"G000015",188.317826619682,1492.17048691164,145.86350145936,2061.16059668794,5693.19388651549,209.852100131108,1437.84109822932,122.444291822702,1069.11930894939,3665.27238830583
29,"BA","Bahia","Bahia",16,"G000016",5704.98240990106,16086.9048107933,4291.79148849236,4823.4623420412,10505.044599517,5811.15056009506,15885.2878431025,5747.86574644017,3309.90613882417,7767.29771576447
31,"MG","Minas Gerais","Minas Gerais",17,"G000017",9861.33635935163,20736.8564298248,3608.93981992057,14767.6021684988,83631.7836236849,9305.51535907226,21156.778826543,5229.44635399044,9603.59880944005,80945.4507458472
32,"ES","Espírito Santo","Espirito Santo",18,"G000018",691.038076548755,2143.65934421593,83.3946390615234,349.470790761069,11366.9094825351,591.178279181948,2238.24708948965,70.3468164934106,129.502375856051,6317.01398759788
33,"RJ","Rio de Janeiro","Rio de Janeiro",19,"G000019",597.148493910023,1830.34938506783,34.2184648977051,69.7371484043504,15470.31213747,486.257012724738,1948.0968624698,31.0381988822192,25.8498352832221,6855.13435008924
35,"SP","São Paulo","Sao Paulo",20,"G000020",11095.7879828696,5336.38842288919,1777.50065440678,6891.81801508556,553196.82322646,11409.976865742,4928.52446772947,3421.06428784846,6331.95876252002,601396.810560107
41,"PR","Paraná","Parana",21,"G000021",9614.31869820563,2907.74363052368,21026.5205107385,28398.3021690705,75578.5362931744,9467.03836487867,2864.80691213502,24844.8107675967,20405.3752135847,68313.3406819144
