"FE","ShortName","Name","NameEN","index","GID","QLND.target","QPLD.target","Qosd.target","Qgro.target","Qc_b.target","QLND.sim","QPLD.sim","Qosd.sim","Qgro.sim","Qc_b.sim"
11,"RO","Rondônia","Rondonia",1,"G000001",106.01184911932,7534.52493980523,330.176608852808,279.048734531474,352.165889637018,161.976125678881,7432.65635360621,507.521967098427,348.688799690394,280.835254109199
12,"AC","Acre","Acre",2,"G000002",0,1743.88707709803,7.18286653870191e-07,2.40294364272539e-06,7.10226008831628e-06,0,1740.51122020976,1.60234298301502e-06,1.41194263101771e-06,1.73592413464004e-06
13,"AM","Amazonas","Amazonas",3,"G000003",3.63099160976178,1655.52944856296,1.32949619157409,9.85096387009801,409.688572060759,2.85895888524005,1656.27002668622,1.05378016630438,2.01630415132455,266.603470349166
14,"RR","Roraima","Roraima",4,"G000004",20.5572690765159,716.508134477051,2.51963826376891,3.38030331431849,1.61390941121061,54.0977286058237,659.23702509928,7.09566224015739,6.32769308384257,1.658847652645
15,"PA","Pará","Para",5,"G000005",232.842318697825,19000.7022790249,243.230234066753,565.27768224911,811.483557540161,458.031354224367,18627.3307659351,783.730723368943,533.406815922418,851.163519307757
16,"AP","Amapá","Amapa",6,"G000006",1.69801797367718,90.1071163582721,5.02863821056517e-07,4.02114662439804,2.52866495917426,11.4248821032679,109.313055040893,1.62969571655802e-06,1.82956836544661,2.76535459382856
17,"TO","Tocantins","Tocantins",7,"G000007",974.165330355119,6457.89949730779,1156.83982114117,267.98044532636,860.516658721282,992.996873435703,6352.18352381864,1659.8425139682,470.588914996287,1036.63422002605
21,"MA","Maranhão","Maranhao",8,"G000008",1100.9947873927,6918.9424959737,1859.68295871939,295.85186650275,2641.90072062594,869.813676932006,7153.29898131684,2083.46421335173,314.092188456978,1998.55477571924
22,"PI","Piauí","Piaui",9,"G000009",1557.50012152284,1074.79003471663,1099.67629687741,415.047143980095,906.689143161507,1476.5025151296,1157.73598170191,1475.85971365061,573.406560256363,804.437248487033
23,"CE","Ceará","Ceara",10,"G000010",1988.39318598938,1653.38186173227,3411.72164389852,1383.91699969361,9766.67183148152,1394.01613484546,2119.89736507221,145.41940270522,843.902097509084,3059.25898282917
24,"RN","Rio Grande do Norte","Rio Grande do Norte",11,"G000011",1423.30296506916,659.190927699519,28.7447309957275,173.604439891618,5946.07751585389,1124.32860597763,842.617836396121,24.9096199411451,65.0025925022816,5394.35589760383
25,"PB","Paraíba","Paraiba",12,"G000012",978.114810829184,1248.90823542167,35.6455736623535,114.718615951391,8912.75036873305,707.693047214758,1431.17999895638,30.1319499070669,91.513499368327,7591.64032203198
26,"PE","Pernambuco","Pernambuco",13,"G000013",1475.27308734102,2612.66851372601,62.3669710622559,408.782577666445,35598.5933705906,1309.76836530526,2777.87655705223,54.4237845095944,216.990156289811,26073.2453302163
27,"AL","Alagoas","Alagoas",14,"G000014",666.425783774697,1434.54837197989,29.695744560791,32.1850242854833,60053.4289827465,579.998708324588,1518.80726737377,27.0786303399941,41.0563008429774,37580.7514334368
28,"SE","Sergipe","Sergipe",15,"G000015",188.317826619682,1492.17048691164,145.86350145936,2061.16059668794,5693.19388651549,246.343710855567,1401.30999903017,125.279676074193,1131.38848811913,3731.66193200545
29,"BA","Bahia","Bahia",16,"G000016",5704.98240990106,16086.9048107933,4291.79148849236,4823.4623420412,10505.044599517,5360.87774124498,16346.1651237992,5257.15470704294,3619.6092540906,6478.38672425229
31,"MG","Minas Gerais","Minas Gerais",17,"G000017",9861.33635935163,20736.8564298248,3608.93981992057,14767.6021684988,83631.7836236849,9818.21036268305,20641.7605638669,5022.24444638001,10434.7463064024,73210.4566141801
32,"ES","Espírito Santo","Espirito Santo",18,"G000018",691.038076548755,2143.65934421593,83.3946390615234,349.470790761069,11366.9094825351,578.197066095134,2253.46157812187,69.1333776386936,135.484365430625,6082.53944064053
33,"RJ","Rio de Janeiro","Rio de Janeiro",19,"G000019",597.148493910023,1830.34938506783,34.2184648977051,69.7371484043504,15470.31213747,459.581878917168,1974.80813454074,29.9752216503592,26.242306481962,6555.22232616117
35,"SP","São Paulo","Sao Paulo",20,"G000020",11095.7879828696,5336.38842288919,1777.50065440678,6891.81801508556,553196.82322646,11166.161066249,5158.82111961961,3300.11979990035,6604.11418680256,562800.719029134
41,"PR","Paraná","Parana",21,"G000021",9614.31869820563,2907.74363052368,21026.5205107385,28398.3021690705,75578.5362931744,9616.90026389398,2703.86233803892,24272.5890408587,21251.6182343087,65309.5393510073
42,"SC","Santa Catarina","Santa Catarina",22,"G000022",2606.07583455028,749.867938210273,1532.23277021911,8453.90973120296,1538.40084501775,2289.22586739112,915.484263877664,2174.26320910264,5188.62915162733,861.12030512717
43,"RS","Rio Grande do Sul","Rio Grande do Sul",23,"G000023",8946.34443926071,295.444702618653,11750.5556507381,10150.329532477,3329.04402008347,8733.73529702097,355.721514515212,17369.8523005906,8660.76289403066,1854.49605098403
50,"MS","Mato Grosso do Sul","Mato Grosso do Sul",24,"G000024",4761.30231443923,15475.3591027533,5900.03180115608,5204.81986661965,33400.3445181047,4739.1497916677,15048.7380954682,8748.02422154997,5689.52672085377,39540.9125288329
51,"MT","Mato Grosso","Mato Grosso",25,"G000025",9347.41260813526,21473.4028184624,29075.1336480575,9375.30709170986,17401.3470261813,9491.69210546804,21068.1534006691,32710.9568231549,12737.0477552441,17104.2593648301
